"schema","child_table","constraint_name","constraint_type","child_columns","parent_schema","parent_table","parent_columns","on_update","on_delete","validated","tenant_pair_detected","definition","classification","expected","difference"
"public","revenue_estimates","revenue_estimates_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_context_fkey","FOREIGN KEY","revenue_context_code","public","revenue_contexts","code","NO ACTION","NO ACTION","true","false","FOREIGN KEY (revenue_context_code) REFERENCES revenue_contexts(code)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_created_by_fkey","FOREIGN KEY","created_by","auth","users","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (created_by) REFERENCES auth.users(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_item_id_fkey","FOREIGN KEY","daily_report_item_id","public","daily_report_items","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (daily_report_item_id) REFERENCES daily_report_items(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_schedule_link_check","CHECK","used_schedule_code,source_snapshot_hash",,,"",,,"true","false","CHECK ((((used_schedule_code IS NULL) AND (source_snapshot_hash IS NULL)) OR (used_schedule_code IS NOT NULL)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_source_snapshot_hash_fkey","FOREIGN KEY","source_snapshot_hash","public","insurance_fee_source_snapshots","content_hash","NO ACTION","NO ACTION","true","false","FOREIGN KEY (source_snapshot_hash) REFERENCES insurance_fee_source_snapshots(content_hash)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_status_check","CHECK","estimate_status",,,"",,,"true","false","CHECK ((estimate_status = ANY (ARRAY['not_calculated'::text, 'calculated'::text, 'needs_review'::text, 'blocked'::text, 'overridden'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_unique_item","UNIQUE","daily_report_item_id",,,"",,,"true","false","UNIQUE (daily_report_item_id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_updated_by_fkey","FOREIGN KEY","updated_by","auth","users","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (updated_by) REFERENCES auth.users(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenue_estimates","revenue_estimates_used_schedule_code_fkey","FOREIGN KEY","used_schedule_code","public","insurance_fee_schedules","schedule_code","NO ACTION","NO ACTION","true","false","FOREIGN KEY (used_schedule_code) REFERENCES insurance_fee_schedules(schedule_code)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_category_id_fkey","FOREIGN KEY","category_id","public","master_categories","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (category_id) REFERENCES master_categories(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_menu_id_fkey","FOREIGN KEY","menu_id","public","menus","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (menu_id) REFERENCES menus(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_patient_id_fkey","FOREIGN KEY","patient_id","public","patients","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (patient_id) REFERENCES patients(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_patient_type_id_fkey","FOREIGN KEY","patient_type_id","public","master_patient_types","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (patient_type_id) REFERENCES master_patient_types(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_payment_method_id_fkey","FOREIGN KEY","payment_method_id","public","master_payment_methods","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (payment_method_id) REFERENCES master_payment_methods(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","revenues","revenues_visit_id_fkey","FOREIGN KEY","visit_id","public","visits","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (visit_id) REFERENCES visits(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","SET NULL","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_resolved_by_fkey","FOREIGN KEY","resolved_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (resolved_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_severity_check","CHECK","severity",,,"",,,"true","false","CHECK ((severity = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text, 'critical'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_status_check","CHECK","status",,,"",,,"true","false","CHECK ((status = ANY (ARRAY['new'::text, 'reviewing'::text, 'resolved'::text, 'false_positive'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_alerts","security_alerts_type_check","CHECK","type",,,"",,,"true","false","CHECK ((type = ANY (ARRAY['csp_violation'::text, 'rate_limit'::text, 'authentication'::text, 'data_breach'::text, 'system'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_assigned_to_fkey","FOREIGN KEY","assigned_to","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (assigned_to) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","NO ACTION","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_session_id_fkey","FOREIGN KEY","session_id","public","user_sessions","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (session_id) REFERENCES user_sessions(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_severity_level_check","CHECK","severity_level",,,"",,,"true","false","CHECK (((severity_level)::text = ANY (ARRAY[('info'::character varying)::text, ('warning'::character varying)::text, ('error'::character varying)::text, ('critical'::character varying)::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_status_check","CHECK","status",,,"",,,"true","false","CHECK (((status)::text = ANY (ARRAY[('new'::character varying)::text, ('investigating'::character varying)::text, ('resolved'::character varying)::text, ('false_positive'::character varying)::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","security_events","security_events_user_id_fkey","FOREIGN KEY","user_id","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (user_id) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","session_policies","session_policies_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","session_policies","session_policies_created_by_fkey","FOREIGN KEY","created_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (created_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","session_policies","session_policies_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","session_policies","session_policies_updated_by_fkey","FOREIGN KEY","updated_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (updated_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_audit_logs","shift_request_audit_logs_actor_user_id_fkey","FOREIGN KEY","actor_user_id","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (actor_user_id) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_audit_logs","shift_request_audit_logs_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_audit_logs","shift_request_audit_logs_period_id_fkey","FOREIGN KEY","period_id","public","shift_request_periods","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (period_id) REFERENCES shift_request_periods(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_audit_logs","shift_request_audit_logs_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_audit_logs","shift_request_audit_logs_request_id_fkey","FOREIGN KEY","request_id","public","shift_requests","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (request_id) REFERENCES shift_requests(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_created_by_fkey","FOREIGN KEY","created_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (created_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_date_check","CHECK","period_end,period_start",,,"",,,"true","false","CHECK ((period_end >= period_start))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_request_periods","shift_request_periods_status_check","CHECK","status",,,"",,,"true","false","CHECK ((status = ANY (ARRAY['draft'::text, 'open'::text, 'closed'::text, 'finalized'::text, 'cancelled'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_converted_shift_id_fkey","FOREIGN KEY","converted_shift_id","public","staff_shifts","id","NO ACTION","RESTRICT","true","false","FOREIGN KEY (converted_shift_id) REFERENCES staff_shifts(id) ON DELETE RESTRICT","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_converted_state_check","CHECK","status,request_type,converted_shift_id",,,"",,,"true","false","CHECK ((((status = 'converted'::text) AND (request_type = ANY (ARRAY['available'::text, 'preferred'::text])) AND (converted_shift_id IS NOT NULL)) OR ((status <> 'converted'::text) AND (converted_shift_id IS NULL))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_period_id_fkey","FOREIGN KEY","period_id","public","shift_request_periods","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (period_id) REFERENCES shift_request_periods(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_priority_check","CHECK","priority",,,"",,,"true","false","CHECK (((priority >= 1) AND (priority <= 5)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_rejection_reason_check","CHECK","status,rejection_reason",,,"",,,"true","false","CHECK (((status <> 'rejected'::text) OR (NULLIF(btrim(COALESCE(rejection_reason, ''::text)), ''::text) IS NOT NULL)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_request_type_check","CHECK","request_type",,,"",,,"true","false","CHECK ((request_type = ANY (ARRAY['available'::text, 'preferred'::text, 'unavailable'::text, 'day_off'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_reviewed_by_fkey","FOREIGN KEY","reviewed_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (reviewed_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_staff_id_fkey","FOREIGN KEY","staff_id","public","resources","id","NO ACTION","RESTRICT","true","false","FOREIGN KEY (staff_id) REFERENCES resources(id) ON DELETE RESTRICT","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_status_check","CHECK","status",,,"",,,"true","false","CHECK ((status = ANY (ARRAY['draft'::text, 'submitted'::text, 'approved'::text, 'rejected'::text, 'withdrawn'::text, 'converted'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_submitted_by_fkey","FOREIGN KEY","submitted_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (submitted_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_submitted_for_role_check","CHECK","submitted_for_role",,,"",,,"true","false","CHECK ((submitted_for_role = ANY (ARRAY['clinic_admin'::text, 'therapist'::text, 'staff'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","shift_requests","shift_requests_time_check","CHECK","end_time,start_time",,,"",,,"true","false","CHECK ((end_time > start_time))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff","staff_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff","staff_email_key","UNIQUE","email",,,"",,,"true","false","UNIQUE (email)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff","staff_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_priority_check","CHECK","priority",,,"",,,"true","false","CHECK (((priority >= 1) AND (priority <= 5)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_resource_id_fkey","FOREIGN KEY","resource_id","public","resources","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (resource_id) REFERENCES resources(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_staff_profile_id_clinic_id_key","UNIQUE","staff_profile_id,clinic_id",,,"",,,"true","false","UNIQUE (staff_profile_id, clinic_id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_staff_profile_id_fkey","FOREIGN KEY","staff_profile_id","public","staff_profiles","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (staff_profile_id) REFERENCES staff_profiles(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_clinic_memberships","staff_clinic_memberships_type_check","CHECK","membership_type",,,"",,,"true","false","CHECK ((membership_type = ANY (ARRAY['home'::text, 'regular'::text, 'help'::text, 'blocked'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_accepted_by_fkey","FOREIGN KEY","accepted_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (accepted_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_clinic_id_email_key","UNIQUE","clinic_id,email",,,"",,,"true","false","UNIQUE (clinic_id, email)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_created_by_fkey","FOREIGN KEY","created_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (created_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_invites","staff_invites_role_check","CHECK","role",,,"",,,"true","false","CHECK (((role)::text = ANY (ARRAY[('admin'::character varying)::text, ('clinic_admin'::character varying)::text, ('therapist'::character varying)::text, ('staff'::character varying)::text, ('manager'::character varying)::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_staff_id_fkey","FOREIGN KEY","staff_id","public","staff","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (staff_id) REFERENCES staff(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_performance","staff_performance_staff_id_performance_date_key","UNIQUE","staff_id,performance_date",,,"",,,"true","false","UNIQUE (staff_id, performance_date)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_preference_type_check","CHECK","preference_type",,,"",,,"true","false","CHECK (((preference_type)::text = ANY (ARRAY[('general'::character varying)::text, ('day_off'::character varying)::text, ('time_preference'::character varying)::text, ('shift_pattern'::character varying)::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_priority_check","CHECK","priority",,,"",,,"true","false","CHECK (((priority >= 1) AND (priority <= 5)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","staff_preferences_staff_id_fkey","FOREIGN KEY","staff_id","public","resources","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (staff_id) REFERENCES resources(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_preferences","valid_preference_period","CHECK","valid_until,valid_from",,,"",,,"true","false","CHECK (((valid_until IS NULL) OR (valid_from IS NULL) OR (valid_until >= valid_from)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_profiles","staff_profiles_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_profiles","staff_profiles_user_id_fkey","FOREIGN KEY","user_id","auth","users","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_assignment_type_check","CHECK","assignment_type",,,"",,,"true","false","CHECK ((assignment_type = ANY (ARRAY['regular'::text, 'help'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_clinic_id_fkey","FOREIGN KEY","clinic_id","public","clinics","id","NO ACTION","CASCADE","true",,"FOREIGN KEY (clinic_id) REFERENCES clinics(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_created_by_fkey","FOREIGN KEY","created_by","auth","users","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (created_by) REFERENCES auth.users(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_home_clinic_id_fkey","FOREIGN KEY","home_clinic_id","public","clinics","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (home_clinic_id) REFERENCES clinics(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_source_shift_request_id_fkey","FOREIGN KEY","source_shift_request_id","public","shift_requests","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (source_shift_request_id) REFERENCES shift_requests(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_staff_id_fkey","FOREIGN KEY","staff_id","public","resources","id","NO ACTION","CASCADE","true","false","FOREIGN KEY (staff_id) REFERENCES resources(id) ON DELETE CASCADE","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_staff_profile_id_fkey","FOREIGN KEY","staff_profile_id","public","staff_profiles","id","NO ACTION","NO ACTION","true","false","FOREIGN KEY (staff_profile_id) REFERENCES staff_profiles(id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_status_check","CHECK","status",,,"",,,"true","false","CHECK (((status)::text = ANY (ARRAY[('draft'::character varying)::text, ('proposed'::character varying)::text, ('confirmed'::character varying)::text, ('cancelled'::character varying)::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","staff_shifts_time_preset_check","CHECK","time_preset",,,"",,,"true","false","CHECK (((time_preset IS NULL) OR (time_preset = ANY (ARRAY['full_day'::text, 'morning'::text, 'afternoon'::text, 'late'::text, 'custom'::text]))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","staff_shifts","valid_shift_time","CHECK","end_time,start_time",,,"",,,"true","false","CHECK ((end_time > start_time))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","stripe_webhook_events","stripe_webhook_events_payload_object_check","CHECK","payload",,,"",,,"true","false","CHECK ((jsonb_typeof(payload) = 'object'::text))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","stripe_webhook_events","stripe_webhook_events_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","stripe_webhook_events","stripe_webhook_events_processing_status_check","CHECK","processing_status",,,"",,,"true","false","CHECK ((processing_status = ANY (ARRAY['received'::text, 'processing'::text, 'processed'::text, 'ignored'::text, 'failed'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","stripe_webhook_events","stripe_webhook_events_related_org_root_clinic_id_fkey","FOREIGN KEY","related_org_root_clinic_id","public","clinics","id","NO ACTION","SET NULL","true","false","FOREIGN KEY (related_org_root_clinic_id) REFERENCES clinics(id) ON DELETE SET NULL","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","stripe_webhook_events","stripe_webhook_events_stripe_event_id_key","UNIQUE","stripe_event_id",,,"",,,"true","false","UNIQUE (stripe_event_id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_billing_state_check","CHECK","billing_state",,,"",,,"true","false","CHECK ((billing_state = ANY (ARRAY['none'::text, 'checkout_pending'::text, 'trialing'::text, 'active'::text, 'cancel_scheduled'::text, 'past_due_grace'::text, 'past_due_locked'::text, 'canceled'::text, 'expired'::text, 'override_active'::text])))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_checkout_expiry_check","CHECK","checkout_started_at,checkout_expires_at",,,"",,,"true","false","CHECK (((checkout_started_at IS NULL) OR (checkout_expires_at IS NULL) OR (checkout_expires_at > checkout_started_at)))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_checkout_plan_code_check","CHECK","checkout_plan_code",,,"",,,"true","false","CHECK (((checkout_plan_code IS NULL) OR (checkout_plan_code = ANY (ARRAY['single_clinic'::text, 'group'::text]))))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_included_store_quantity_check","CHECK","included_store_quantity",,,"",,,"true","false","CHECK ((included_store_quantity >= 0))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_metadata_object_check","CHECK","metadata",,,"",,,"true","false","CHECK ((jsonb_typeof(metadata) = 'object'::text))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_org_root_clinic_id_fkey","FOREIGN KEY","org_root_clinic_id","public","clinics","id","NO ACTION","RESTRICT","true","false","FOREIGN KEY (org_root_clinic_id) REFERENCES clinics(id) ON DELETE RESTRICT","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_org_root_clinic_id_key","UNIQUE","org_root_clinic_id",,,"",,,"true","false","UNIQUE (org_root_clinic_id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_paid_extra_store_quantity_check","CHECK","paid_extra_store_quantity",,,"",,,"true","false","CHECK ((paid_extra_store_quantity >= 0))","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","subscriptions","subscriptions_pkey","PRIMARY KEY","id",,,"",,,"true","false","PRIMARY KEY (id)","UNCLASSIFIED","UNDECIDED","UNKNOWN"
